"","UniProt_Name","protein.ids","majority.protein.ids","peptide.counts..all.","peptide.counts..razor.unique.","peptide.counts..unique.","fasta.headers","number.of.proteins","peptides","razor...unique.peptides","unique.peptides"
"1075","P00352;Q5SYQ7;Q5SYQ9;Q5SYQ8","P00352;Q5SYQ7;Q5SYQ9;Q5SYQ8","P00352","20;6;6;6","20;6;6;6","18;5;5;5","Aldehyde dehydrogenase 1A1",4,20,20,18
"1076","P00367;A0A804HJD7;A0A804HKE0;P49448;A0A804HJZ0;A0A804HHS2;A0A804HLC0;A0A804HHU3;A0A804HIA0","P00367;A0A804HJD7;A0A804HKE0;P49448;A0A804HJZ0;A0A804HHS2;A0A804HLC0;A0A804HHU3;A0A804HIA0","P00367;A0A804HJD7;A0A804HKE0;P49448","16;14;13;13;6;4;2;2;1","16;14;13;13;6;4;2;2;1","16;14;13;13;6;4;2;2;1","Glutamate dehydrogenase 1, mitochondrial;Glutamate dehydrogenase;Glutamate dehydrogenase;Glutamate dehydrogenase 2, mitochondrial",9,16,16,16
"1077","P00390;A0A2R8YF59;H0YC68","P00390;A0A2R8YF59;H0YC68","P00390","9;2;1","9;2;1","9;2;1","Glutathione reductase, mitochondrial",3,9,9,9
"1078","P00403","P00403","P00403","6","6","6","Cytochrome c oxidase subunit 2",1,6,6,6
"1079","P00441;H7BYH4","P00441;H7BYH4","P00441;H7BYH4","3;2","3;2","3;2","Superoxide dismutase [Cu-Zn];Superoxide dismutase [Cu-Zn]",2,3,3,3
"1080","P00488;Q9NQP5;A6PVK5;H0Y4W5;H0Y796","P00488;Q9NQP5;A6PVK5;H0Y4W5;H0Y796","P00488","17;3;3;1;1","17;3;3;1;1","17;3;3;1;1","Coagulation factor XIII A chain",5,17,17,17
"1081","P00491;G3V5M2;G3V393;G3V2H3","P00491;G3V5M2;G3V393;G3V2H3","P00491;G3V5M2","7;5;2;2","7;5;2;2","7;5;2;2","Purine nucleoside phosphorylase;Purine-nucleoside phosphorylase (Fragment)",4,7,7,7
"1082","P00492","P00492","P00492","3","3","3","Hypoxanthine-guanine phosphoribosyltransferase",1,3,3,3
"1083","P00505","P00505","P00505","7","7","7","Aspartate aminotransferase, mitochondrial",1,7,7,7
"1084","P00558;P07205","P00558;P07205","P00558","19;5","19;5","19;5","Phosphoglycerate kinase 1",2,19,19,19
"1085","Q5T9B7;P00568;H0YID2","Q5T9B7;P00568;H0YID2","Q5T9B7;P00568","8;8;1","8;8;1","8;8;1","Adenylate kinase isoenzyme 1;Adenylate kinase isoenzyme 1",3,8,8,8
"1086","P00918;E5RID5;E5RK37","P00918;E5RID5;E5RK37","P00918","5;2;2","5;2;2","5;2;2","Carbonic anhydrase 2",3,5,5,5
"1087","P00966;Q5T6L5;Q5T6L6","P00966;Q5T6L5;Q5T6L6","P00966;Q5T6L5;Q5T6L6","4;2;2","4;2;2","4;2;2","Argininosuccinate synthase;Argininosuccinate synthase (Fragment);Argininosuccinate synthase (Fragment)",3,4,4,4
"1088","P01008;CON__P41361","P01008;CON__P41361","P01008","13;3","13;3","13;3","Antithrombin-III",2,13,13,13
"1089","P01009;A0A024R6I7;A0A0G2JRN3;G3V2B9;G3V544;G3V5R8;G3V387;A0A0B4J278","P01009;A0A024R6I7;A0A0G2JRN3;G3V2B9;G3V544;G3V5R8;G3V387;A0A0B4J278","P01009;A0A024R6I7;A0A0G2JRN3","13;12;10;2;2;1;1;1","13;12;10;2;2;1;1;1","13;12;10;2;2;1;1;1","Alpha-1-antitrypsin;Alpha-1-antitrypsin;Alpha-1-antitrypsin",8,13,13,13
"1090","P01011;G3V3A0;G3V595","P01011;G3V3A0;G3V595","P01011;G3V3A0","9;6;3","9;6;3","9;6;3","Alpha-1-antichymotrypsin;Alpha-1-antichymotrypsin",3,9,9,9
"1091","P01023;H0YFH1;F8W7L3","P01023;H0YFH1;F8W7L3","P01023","15;1;1","15;1;1","15;1;1","Alpha-2-macroglobulin",3,15,15,15
"1092","P01024;A0A8Q3WM02;A0A8Q3SI05;A0A8Q3SI45;A0A8Q3SI22;A0A8Q3SI34;CON__Q2UVX4;M0QYC8;M0QXZ3;M0R0Q9;A0A8Q3WLS3","P01024;A0A8Q3WM02;A0A8Q3SI05;A0A8Q3SI45;A0A8Q3SI22;A0A8Q3SI34;CON__Q2UVX4;M0QYC8;M0QXZ3;M0R0Q9;A0A8Q3WLS3","P01024;A0A8Q3WM02;A0A8Q3SI05","28;24;23;12;7;3;3;2;1;1;1","28;24;23;12;7;3;3;2;1;1;1","28;24;23;12;7;3;3;2;1;1;1","Complement C3;Complement C3 (Fragment);Complement C3 (Fragment)",11,28,28,28
"1093","P01111;P01116;P01112;A0A804HKM6;A0A804HJ06","P01111;P01116;P01112;A0A804HKM6;A0A804HJ06","P01111;P01116;P01112;A0A804HKM6;A0A804HJ06","4;3;3;2;2","4;3;3;2;2","2;1;2;1;1","GTPase NRas;GTPase KRas;GTPase HRas;GTPase HRas (Fragment);GTPase HRas",5,4,4,2
"1094","P01833","P01833","P01833","13","13","13","Polymeric immunoglobulin receptor",1,13,13,13
"1095","P02042;E9PFT6;E9PEW8;CON__Q3SX09;C9JRG0","P02042;E9PFT6;E9PEW8;CON__Q3SX09;C9JRG0","P02042;E9PFT6;E9PEW8","8;7;6;2;1","2;2;2;0;0","2;2;2;0;0","Hemoglobin subunit delta;Hemoglobin subunit delta;Hemoglobin subunit delta (Fragment)",5,8,2,2
"1096","P02452;CON__Q862S4","P02452;CON__Q862S4","P02452","38;2","38;2","37;2","Collagen alpha-1(I) chain",2,38,38,37
"1097","P02461","P02461","P02461","8","8","5","Collagen alpha-1(III) chain",1,8,8,5
"1098","P02511;E9PJL7;E9PRA8;E9PNH7;A0A024R3B9;E9PS12","P02511;E9PJL7;E9PRA8;E9PNH7;A0A024R3B9;E9PS12","P02511;E9PJL7;E9PRA8;E9PNH7;A0A024R3B9","8;7;6;5;5;3","8;7;6;5;5;3","8;7;6;5;5;3","Alpha-crystallin B chain;Alpha-crystallin B chain (Fragment);Alpha-crystallin B chain;Alpha-crystallin B chain;Alpha-crystallin B chain",6,8,8,8
"1099","P02671;CON__P02672","P02671;CON__P02672","P02671","5;1","5;1","5;1","Fibrinogen alpha chain",2,5,5,5
"1100","P02675;D6REL8;CON__P02676","P02675;D6REL8;CON__P02676","P02675;D6REL8","5;3;1","5;3;1","5;3;1","Fibrinogen beta chain;Fibrinogen beta chain",3,5,5,5
"1101","P02751;H0Y7Z1;H0Y4K8","P02751;H0Y7Z1;H0Y4K8","P02751","62;30;3","62;30;3","62;30;3","Fibronectin",3,62,62,62
"1102","P02763","P02763","P02763","4","4","2","Alpha-1-acid glycoprotein 1",1,4,4,2
"1103","P02787;C9JVG0;H7C5E8","P02787;C9JVG0;H7C5E8","P02787","6;1;1","6;1;1","6;1;1","Serotransferrin",3,6,6,6
"1104","P02790","P02790","P02790","3","3","3","Hemopexin",1,3,3,3
"1105","P02792","P02792","P02792","6","6","6","Ferritin light chain",1,6,6,6
"1106","P02794;G3V192;E9PRK8;G3V1D1;E9PKY7;E9PQR3;E9PPQ4;E9PKM5;E9PK45","P02794;G3V192;E9PRK8;G3V1D1;E9PKY7;E9PQR3;E9PPQ4;E9PKM5;E9PK45","P02794;G3V192;E9PRK8;G3V1D1","7;5;4;4;3;2;2;2;2","7;5;4;4;3;2;2;2;2","7;5;4;4;3;2;2;2;2","Ferritin heavy chain;Ferritin;Ferritin;Ferritin",9,7,7,7
"1107","P04040","P04040","P04040","16","16","16","Catalase",1,16,16,16
"1108","P04066","P04066","P04066","2","2","2","Tissue alpha-L-fucosidase",1,2,2,2
"1109","P04075;H3BQN4;J3KPS3;H3BPS8;H3BUH7;H3BR04;H3BMQ8;H3BU78;H3BR68;A0A3B3IS80;P05062","P04075;H3BQN4;J3KPS3;H3BPS8;H3BUH7;H3BR04;H3BMQ8;H3BU78;H3BR68;A0A3B3IS80;P05062","P04075;H3BQN4;J3KPS3;H3BPS8;H3BUH7;H3BR04;H3BMQ8","23;22;21;16;13;13;12;8;6;1;1","23;22;21;16;13;13;12;8;6;1;1","20;19;20;13;13;13;12;8;6;0;0","Fructose-bisphosphate aldolase A;Fructose-bisphosphate aldolase;Fructose-bisphosphate aldolase;Fructose-bisphosphate aldolase (Fragment);Fructose-bisphosphate aldolase (Fragment);Fructose-bisphosphate aldolase (Fragment);Fructose-bisphosphate aldolase (Fra",11,23,23,20
"1110","P04080;A0A1W2PS52;A0A1W2PQG6","P04080;A0A1W2PS52;A0A1W2PQG6","P04080;A0A1W2PS52","4;2;1","4;2;1","4;2;1","Cystatin-B;Cystatin-B",3,4,4,4
"1111","P04083;Q5T3N1;Q5T3N0","P04083;Q5T3N1;Q5T3N0","P04083;Q5T3N1","19;11;8","19;11;8","19;11;8","Annexin A1;Annexin (Fragment)",3,19,19,19
"1112","P04179;F5H3C5;F5H4R2;F5GYZ5;G8JLJ2;G5E9P6;F5GXZ9","P04179;F5H3C5;F5H4R2;F5GYZ5;G8JLJ2;G5E9P6;F5GXZ9","P04179;F5H3C5;F5H4R2;F5GYZ5;G8JLJ2","6;4;4;4;3;1;1","6;4;4;4;3;1;1","6;4;4;4;3;1;1","Superoxide dismutase [Mn], mitochondrial;Superoxide dismutase (Fragment);Superoxide dismutase (Fragment);Superoxide dismutase (Fragment);Superoxide dismutase (Fragment)",7,6,6,6
"1113","P04181","P04181","P04181","3","3","3","Ornithine aminotransferase, mitochondrial",1,3,3,3
"1114","P04196","P04196","P04196","2","2","2","Histidine-rich glycoprotein",1,2,2,2
"1115","P04275","P04275","P04275","11","11","11","von Willebrand factor",1,11,11,11
"1116","P04406;E7EUT5;O14556","P04406;E7EUT5;O14556","P04406;E7EUT5","16;11;1","16;11;1","16;11;1","Glyceraldehyde-3-phosphate dehydrogenase;Glyceraldehyde-3-phosphate dehydrogenase",3,16,16,16
"1117","P04424;F8W943;A0A5F9ZHM8;A0A5F9ZHC6;A0A5F9ZI35;H7C0S8","P04424;F8W943;A0A5F9ZHM8;A0A5F9ZHC6;A0A5F9ZI35;H7C0S8","P04424;F8W943;A0A5F9ZHM8;A0A5F9ZHC6","11;9;8;6;1;1","11;9;8;6;1;1","11;9;8;6;1;1","Argininosuccinate lyase;Argininosuccinate lyase;Argininosuccinate lyase (Fragment);Argininosuccinate lyase",6,11,11,11
"1118","P04792;A0A6Q8PFK8;A0A6Q8PGK1;A0A6Q8PHJ6;A0A6Q8PFE7;A0A6Q8PF43;A0A6Q8PHA6;A0A6Q8PH65;A0A6Q8PGY2;C9J3N8","P04792;A0A6Q8PFK8;A0A6Q8PGK1;A0A6Q8PHJ6;A0A6Q8PFE7;A0A6Q8PF43;A0A6Q8PHA6;A0A6Q8PH65;A0A6Q8PGY2;C9J3N8","P04792;A0A6Q8PFK8;A0A6Q8PGK1;A0A6Q8PHJ6","13;11;11;9;6;6;6;6;6;2","13;11;11;9;6;6;6;6;6;2","13;11;11;9;6;6;6;6;6;2","Heat shock protein beta-1;Heat shock protein beta-1;Heat shock protein beta-1;Heat shock protein beta-1",10,13,13,13
"1119","P04839;A0A8Q3WMA3;A0A8Q3SIF1;A0A8Q3SIJ1","P04839;A0A8Q3WMA3;A0A8Q3SIF1;A0A8Q3SIJ1","P04839;A0A8Q3WMA3;A0A8Q3SIF1;A0A8Q3SIJ1","2;1;1;1","2;1;1;1","2;1;1;1","Cytochrome b-245 heavy chain;Cytochrome b-245 heavy chain;Cytochrome b-245 heavy chain;Cytochrome b-245 heavy chain",4,2,2,2
"1120","P04843;B7Z4L4;F8WF32","P04843;B7Z4L4;F8WF32","P04843;B7Z4L4","26;18;5","26;18;5","26;18;5","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1",3,26,26,26
"1121","P04844;Q5JYR7;Q5JYR4;H0Y5M1;F2Z3K5;Q5JYR3","P04844;Q5JYR7;Q5JYR4;H0Y5M1;F2Z3K5;Q5JYR3","P04844","16;7;5;3;3;2","16;7;5;3;3;2","16;7;5;3;3;2","Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2",6,16,16,16
"1122","P04899;P11488;P09471;P19087;A8MTJ3;A0A1W2PRE1;A0A1W2PQK2;A2A2R6;A0A087WTB6;Q5JWD1;A0A1W2PRJ7;A0A6Q8PGR1;A0A087WZE5;A0A1W2PS82;H3BTM2;A0A1W2PP38;H0Y7E8;P38405","P04899;P11488;P09471;P19087;A8MTJ3;A0A1W2PRE1;A0A1W2PQK2;A2A2R6;A0A087WTB6;Q5JWD1;A0A1W2PRJ7;A0A6Q8PGR1;A0A087WZE5;A0A1W2PS82;H3BTM2;A0A1W2PP38;H0Y7E8;P38405","P04899","10;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1","10;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1","5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0","Guanine nucleotide-binding protein G(i) subunit alpha-2",18,10,10,5
"1123","Q93077;Q7L7L0;P04908","Q93077;Q7L7L0;P04908","Q93077;Q7L7L0;P04908","9;9;9","9;9;9","2;2;2","Histone H2A type 1-C;Histone H2A type 3;Histone H2A type 1-B/E",3,9,9,2
"1124","P05023;M0R116;A0A2R8YEY8;A0A0A0MT26;P13637;B1AKY9;P50993;H0Y7C1;Q13733;Q5TC01;M0QXF2;E9PRA5;P20648;Q5TC02;A0A669K9X0","P05023;M0R116;A0A2R8YEY8;A0A0A0MT26;P13637;B1AKY9;P50993;H0Y7C1;Q13733;Q5TC01;M0QXF2;E9PRA5;P20648;Q5TC02;A0A669K9X0","P05023","22;9;9;9;9;7;7;5;3;2;2;2;2;1;1","22;9;9;9;9;7;7;5;3;2;2;2;2;1;1","21;8;8;8;8;6;6;4;2;2;2;2;1;1;1","Sodium/potassium-transporting ATPase subunit alpha-1",15,22,22,21
"1125","P05091;S4R3S4;F8VP50;H0Y2X5;P47895","P05091;S4R3S4;F8VP50;H0Y2X5;P47895","P05091","16;5;5;1;1","14;5;4;0;0","14;5;4;0;0","Aldehyde dehydrogenase, mitochondrial",5,16,14,14
"1126","P05109","P05109","P05109","5","5","5","Protein S100-A8",1,5,5,5
"1127","P05141;Q9H0C2","P05141;Q9H0C2","P05141","13;3","13;3","6;0","ADP/ATP translocase 2",2,13,13,6
"1128","P05164;J3QSF7","P05164;J3QSF7","P05164","11;3","7;2","7;2","Myeloperoxidase",2,11,7,7
"1129","P05198;G3V4T5;H0YJS4","P05198;G3V4T5;H0YJS4","P05198;G3V4T5;H0YJS4","9;8;7","9;8;7","8;7;6","Eukaryotic translation initiation factor 2 subunit 1;Eukaryotic translation initiation factor 2 subunit 1 (Fragment);Eukaryotic translation initiation factor 2 subunit 1 (Fragment)",3,9,9,8
"1130","P05362;K7EKL8;E7ESS4","P05362;K7EKL8;E7ESS4","P05362","5;2;2","5;2;2","5;2;2","Intercellular adhesion molecule 1",3,5,5,5
"1131","P05386","P05386","P05386","2","2","2","60S acidic ribosomal protein P1",1,2,2,2
"1132","P05387;H0YDD8","P05387;H0YDD8","P05387","6;2","6;2","6;2","60S acidic ribosomal protein P2",2,6,6,6
"1133","P05388;F8VWS0;F8VW21;F8VU65;F8VPE8;G3V210;F8VQY6;F8VRK7;F8VZS0;Q8NHW5;F8VS58;F8VWV4;F8W1K8","P05388;F8VWS0;F8VW21;F8VU65;F8VPE8;G3V210;F8VQY6;F8VRK7;F8VZS0;Q8NHW5;F8VS58;F8VWV4;F8W1K8","P05388;F8VWS0;F8VW21;F8VU65;F8VPE8;G3V210;F8VQY6;F8VRK7;F8VZS0;Q8NHW5;F8VS58","10;9;8;8;7;7;6;6;6;6;5;4;2","10;9;8;8;7;7;6;6;6;6;5;4;2","10;9;8;8;7;7;6;6;6;6;5;4;2","60S acidic ribosomal protein P0;60S acidic ribosomal protein P0;60S acidic ribosomal protein P0 (Fragment);60S acidic ribosomal protein P0 (Fragment);60S acidic ribosomal protein P0 (Fragment);60S acidic ribosomal protein P0;60S acidic ribosomal protein P0",13,10,10,10
"1134","P05455;E7ERC4;E9PGX9;E9PFL9","P05455;E7ERC4;E9PGX9;E9PFL9","P05455;E7ERC4","14;8;6;5","14;8;6;5","14;8;6;5","Lupus La protein;Lupus La protein (Fragment)",4,14,14,14
"1135","P05783;F8VZY9;CON__H-INV:HIT000015463;CON__Q92764;C4AM86;CON__Q497I4;Q92764","P05783;F8VZY9;CON__H-INV:HIT000015463;CON__Q92764;C4AM86;CON__Q497I4;Q92764","P05783;F8VZY9","29;26;3;2;2;2;2","29;26;3;2;2;2;2","18;15;2;1;1;1;1","Keratin, type I cytoskeletal 18;Keratin, type I cytoskeletal 18",7,29,29,18
"1136","P05997;A0A087WYX9","P05997;A0A087WYX9","P05997;A0A087WYX9","4;3","4;3","4;3","Collagen alpha-2(V) chain;Collagen alpha-2(V) chain",2,4,4,4
"1137","P06576;H0YH81;F8W079;F8W0P7;H0YI37","P06576;H0YH81;F8W079;F8W0P7;H0YI37","P06576;H0YH81;F8W079","27;21;14;10;6","27;21;14;10;6","27;21;14;10;6","ATP synthase subunit beta, mitochondrial;ATP synthase subunit beta (Fragment);ATP synthase subunit beta, mitochondrial (Fragment)",5,27,27,27
"1138","P06702","P06702","P06702","5","5","5","Protein S100-A9",1,5,5,5
"1139","P06703;R4GN98","P06703;R4GN98","P06703;R4GN98","8;5","8;5","8;5","Protein S100-A6;Protein S100 (Fragment)",2,8,8,8
"1140","P06733;A0A2R8Y6G6;K7EM90;A0A2R8YEM5;A0A2R8Y879;K7ERS8;A0A2R8Y6I8;A0A2R8Y798;A0A2R8YEG5;E5RI09;E5RG95","P06733;A0A2R8Y6G6;K7EM90;A0A2R8YEM5;A0A2R8Y879;K7ERS8;A0A2R8Y6I8;A0A2R8Y798;A0A2R8YEG5;E5RI09;E5RG95","P06733;A0A2R8Y6G6;K7EM90","24;22;12;10;9;4;3;3;3;3;3","24;22;12;10;9;4;3;3;3;3;3","20;18;9;7;6;3;3;2;2;0;0","Alpha-enolase;Phosphopyruvate hydratase;Phosphopyruvate hydratase (Fragment)",11,24,24,20
"1141","P06756","P06756","P06756","12","12","12","Integrin alpha-V",1,12,12,12
"1142","P07099;B1AQP8","P07099;B1AQP8","P07099","15;3","15;3","15;3","Epoxide hydrolase 1",2,15,15,15
"1143","P07108;B8ZWD1","P07108;B8ZWD1","P07108;B8ZWD1","3;2","3;2","3;2","Acyl-CoA-binding protein;Acyl-CoA-binding protein",2,3,3,3
"1144","P07203;A0A2R8Y6B6;A0A7I2YMD7;A0A7I2UQ36","P07203;A0A2R8Y6B6;A0A7I2YMD7;A0A7I2UQ36","P07203;A0A2R8Y6B6","5;4;1;1","5;4;1;1","5;4;1;1","Glutathione peroxidase 1;Glutathione peroxidase 1",4,5,5,5
"1145","P07305","P07305","P07305","6","6","6","Histone H1.0",1,6,6,6
"1146","P07355;H0YMW4;H0YN42;H0YMD0;H0YMU9;A6NMY6;H0YKS4;H0YNB8;H0YM50;H0YL33;H0YNP5;H0YMM1;A0A7I2V4P4;H0YN28;H0YKZ7;H0YLV6;H0YMT9;H0YKX9;H0YKL9;H0YNA0;H0YKV8;H0YMD9;H0YKN4;H0YLE2","P07355;H0YMW4;H0YN42;H0YMD0;H0YMU9;A6NMY6;H0YKS4;H0YNB8;H0YM50;H0YL33;H0YNP5;H0YMM1;A0A7I2V4P4;H0YN28;H0YKZ7;H0YLV6;H0YMT9;H0YKX9;H0YKL9;H0YNA0;H0YKV8;H0YMD9;H0YKN4;H0YLE2","P07355;H0YMW4;H0YN42;H0YMD0;H0YMU9;A6NMY6;H0YKS4;H0YNB8;H0YM50;H0YL33;H0YNP5;H0YMM1;A0A7I2V4P4","24;23;21;20;20;17;15;15;15;14;13;12;12;11;10;10;10;10;9;7;7;6;4;2","24;23;21;20;20;17;15;15;15;14;13;12;12;11;10;10;10;10;9;7;7;6;4;2","24;23;21;20;20;17;15;15;15;14;13;12;12;11;10;10;10;10;9;7;7;6;4;2","Annexin A2;Annexin;Annexin (Fragment);Annexin (Fragment);Annexin;Putative annexin A2-like protein;Annexin (Fragment);Annexin;Annexin (Fragment);Annexin;Annexin (Fragment);Annexin (Fragment);Annexin",24,24,24,24
"1147","P07384;E9PL37;E9PRM1;E9PLX0;E9PJJ3;E9PLC9;E9PMC6;E9PJA6;E9PSA6;E9PQB3;E9PIA9","P07384;E9PL37;E9PRM1;E9PLX0;E9PJJ3;E9PLC9;E9PMC6;E9PJA6;E9PSA6;E9PQB3;E9PIA9","P07384","25;4;4;3;3;3;3;3;3;3;1","25;4;4;3;3;3;3;3;3;3;1","25;4;4;3;3;3;3;3;3;3;1","Calpain-1 catalytic subunit",11,25,25,25
"1148","Q5JP53;P07437;Q5ST81;A0A075B736;Q5SQY0;A6NNZ2;CON__ENSEMBL:ENSBTAP00000025008;Q9H4B7;G3V5W4;G3V2R8;G3V3R4;G3V2N6","Q5JP53;P07437;Q5ST81;A0A075B736;Q5SQY0;A6NNZ2;CON__ENSEMBL:ENSBTAP00000025008;Q9H4B7;G3V5W4;G3V2R8;G3V3R4;G3V2N6","Q5JP53;P07437;Q5ST81","23;23;20;7;7;7;4;4;1;1;1;1","6;6;3;0;0;0;0;0;1;1;1;1","5;5;3;0;0;0;0;0;0;0;0;0","Tubulin beta chain;Tubulin beta chain;Tubulin beta chain",12,23,6,5
"1149","P07451;E5RHI4","P07451;E5RHI4","P07451","5;1","5;1","5;1","Carbonic anhydrase 3",2,5,5,5
"1150","P07585;F8VXZ8;F8VUF6;F8VWU0;F8VX58;F8VNV6;H0YIH3;H0YI87;A0A7I2PRI8;F8VNW0;F8VU58;F8VSI3","P07585;F8VXZ8;F8VUF6;F8VWU0;F8VX58;F8VNV6;H0YIH3;H0YI87;A0A7I2PRI8;F8VNW0;F8VU58;F8VSI3","P07585;F8VXZ8;F8VUF6;F8VWU0","13;7;7;7;4;3;2;1;1;1;1;1","12;7;7;7;4;2;1;1;1;1;1;1","12;7;7;7;4;2;1;1;1;1;1;1","Decorin;Decorin (Fragment);Decorin (Fragment);Decorin (Fragment)",12,13,12,12
"1151","P07602","P07602","P07602","2","2","2","Prosaposin",1,2,2,2
"1152","P07737;K7EJ44;I3L3D5","P07737;K7EJ44;I3L3D5","P07737;K7EJ44;I3L3D5","8;5;4","8;5;4","6;4;3","Profilin-1;Profilin;Profilin (Fragment)",3,8,8,6
"1153","P07741;H3BQF1;H3BQZ9;H3BQB1;H3BSW3","P07741;H3BQF1;H3BQZ9;H3BQB1;H3BSW3","P07741;H3BQF1;H3BQZ9;H3BQB1;H3BSW3","6;5;4;4;3","6;5;4;4;3","6;5;4;4;3","Adenine phosphoribosyltransferase;Adenine phosphoribosyltransferase (Fragment);Adenine phosphoribosyltransferase;Adenine phosphoribosyltransferase (Fragment);Adenine phosphoribosyltransferase",5,6,6,6
"1154","P07814;V9GYZ6;V9GZ76","P07814;V9GYZ6;V9GZ76","P07814;V9GYZ6","20;12;3","20;12;3","19;11;3","Bifunctional glutamate/proline--tRNA ligase;Glutamate--tRNA ligase (Fragment)",3,20,20,19
"1155","P07900;G3V2J8;Q14568;Q58FG0;Q58FG1","P07900;G3V2J8;Q14568;Q58FG0;Q58FG1","P07900","39;9;7;6;2","24;5;2;3;1","24;5;2;3;1","Heat shock protein HSP 90-alpha",5,39,24,24
"1156","P07954;A0A804HI24;A0A804HKE6","P07954;A0A804HI24;A0A804HKE6","P07954;A0A804HI24","11;10;4","11;10;4","11;10;4","Fumarate hydratase, mitochondrial;Fumarate hydratase, mitochondrial",3,11,11,11
"1157","P07988;H0Y7V6;U3KQT2","P07988;H0Y7V6;U3KQT2","P07988;H0Y7V6","5;4;1","5;4;1","5;4;1","Pulmonary surfactant-associated protein B;Pulmonary surfactant-associated protein B (Fragment)",3,5,5,5
"1158","P08123","P08123","P08123","23","23","23","Collagen alpha-2(I) chain",1,23,23,23
"1159","P08133;E7EMC6;E5RK63;E5RJF5;E5RI05","P08133;E7EMC6;E5RK63;E5RJF5;E5RI05","P08133","32;15;7;6;5","32;15;7;6;5","15;1;5;4;2","Annexin A6",5,32,32,15
"1160","P08236;F8WBK6;F2Z3L6","P08236;F8WBK6;F2Z3L6","P08236;F8WBK6;F2Z3L6","2;1;1","2;1;1","2;1;1","Beta-glucuronidase;Beta-glucuronidase;Beta-glucuronidase",3,2,2,2
"1161","P08238;Q58FF7;Q58FF6","P08238;Q58FF7;Q58FF6","P08238","40;15;6","40;15;6","20;6;0","Heat shock protein HSP 90-beta",3,40,40,20
"1162","P08246","P08246","P08246","2","2","2","Neutrophil elastase",1,2,2,2
"1163","P08294;M0R1V4","P08294;M0R1V4","P08294","4;1","4;1","4;1","Extracellular superoxide dismutase [Cu-Zn]",2,4,4,4
"1164","P08311","P08311","P08311","5","5","5","Cathepsin G",1,5,5,5
"1165","P08493","P08493","P08493","2","2","2","Matrix Gla protein",1,2,2,2
"1166","Q5JPU2;P08559;Q5JPU0;Q5JPT9;Q5JPU1;P29803;A0A8Q3WLI8;A0A8Q3WLK5","Q5JPU2;P08559;Q5JPU0;Q5JPT9;Q5JPU1;P29803;A0A8Q3WLI8;A0A8Q3WLK5","Q5JPU2;P08559","7;7;2;2;2;2;1;1","7;7;2;2;2;2;1;1","7;7;2;2;2;2;1;1","Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial;Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial",8,7,7,7
"1167","P08567","P08567","P08567","2","2","2","Pleckstrin",1,2,2,2
"1168","P08572;A0A3B3IS47;A0A3B3IS04;A0A3B3IT80","P08572;A0A3B3IS47;A0A3B3IS04;A0A3B3IT80","P08572","7;2;1;1","7;2;1;1","7;2;1;1","Collagen alpha-2(IV) chain",4,7,7,7
"1169","P08579","P08579","P08579","5","5","3","U2 small nuclear ribonucleoprotein B",1,5,5,3
"1170","P08621;M0QYR1;M0QX04","P08621;M0QYR1;M0QX04","P08621","13;5;2","13;5;2","13;5;2","U1 small nuclear ribonucleoprotein 70 kDa",3,13,13,13
"1171","P08648","P08648","P08648","3","3","3","Integrin alpha-5",1,3,3,3
"1172","P08670;B0YJC4;B0YJC5;A0A1B0GTT5;A0A1B0GVG8;E7EMV2;E7ESP9;P07196;P07197;P12036","P08670;B0YJC4;B0YJC5;A0A1B0GTT5;A0A1B0GVG8;E7EMV2;E7ESP9;P07196;P07197;P12036","P08670;B0YJC4;B0YJC5","46;43;23;14;6;1;1;1;1;1","46;43;23;14;6;1;1;1;1;1","37;34;17;11;6;0;0;0;0;0","Vimentin;Vimentin;Vimentin",10,46,46,37
"1173","P08754","P08754","P08754","9","5","5","Guanine nucleotide-binding protein G(i) subunit alpha-3",1,9,5,5
"1174","P08758;D6RBL5;D6RBE9;E9PHT9;D6RCN3","P08758;D6RBL5;D6RBE9;E9PHT9;D6RCN3","P08758;D6RBL5;D6RBE9","21;16;15;8;2","21;16;15;8;2","21;16;15;8;2","Annexin A5;Annexin;Annexin",5,21,21,21
"1175","P09012;M0R268;M0R0G9;M0QXK2;M0R221;M0R2B8;M0QZG7","P09012;M0R268;M0R0G9;M0QXK2;M0R221;M0R2B8;M0QZG7","P09012;M0R268;M0R0G9;M0QXK2;M0R221;M0R2B8;M0QZG7","4;3;2;2;2;2;2","2;1;1;1;1;1;1","2;1;1;1;1;1;1","U1 small nuclear ribonucleoprotein A;U1 small nuclear ribonucleoprotein A (Fragment);U1 small nuclear ribonucleoprotein A;U1 small nuclear ribonucleoprotein A (Fragment);U1 small nuclear ribonucleoprotein A (Fragment);U1 small nuclear ribonucleoprotein A (",7,4,2,2
